列名,含义,简单释义,互补列,后续利用,来源数据集
da027,身体疼痛程度,1=无；2=一点；3=有些；4=相当；5=非常,—,单独使用,Health_Status_and_Functioning.dta
da030,上月平均每天实际睡眠小时数,数值（小时）,—,单独使用,Health_Status_and_Functioning.dta
da032_1_,是否高强度体力活动（每次>10分钟）,1=是；2=否,—,单独使用,Health_Status_and_Functioning.dta
da032_2_,是否中等强度体力活动（每次>10分钟）,1=是；2=否,—,单独使用,Health_Status_and_Functioning.dta
da032_3_,是否轻度体力活动（每次>10分钟）,1=是；2=否,—,单独使用,Health_Status_and_Functioning.dta
da037_1_,高强度活动目的,1=工作需要；2=娱乐；3=锻炼；4=其他,—,单独使用；仅 da032_1_=是 时有意义,Health_Status_and_Functioning.dta
da037_2_,中等强度活动目的,1=工作需要；2=娱乐；3=锻炼；4=其他,—,单独使用；仅 da032_2_=是 时有意义,Health_Status_and_Functioning.dta
da037_3_,轻度活动目的,1=工作需要；2=娱乐；3=锻炼；4=其他,—,单独使用；仅 da032_3_=是 时有意义,Health_Status_and_Functioning.dta
da038_s1,上月是否与朋友交往,0=否；1=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da038_s2,上月是否打麻将/下棋/打牌/去社区活动室,0=否；2=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da038_s3,上月是否帮助不住一起的家人朋友邻居,0=否；3=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da038_s4,上月是否参加运动/社交等俱乐部,0=否；4=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da038_s5,上月是否参加社区相关组织,0=否；5=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da038_s6,上月是否做志愿/慈善或照顾不住一起的病弱者,0=否；6=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da038_s7,上月是否参加教育/培训课程,0=否；7=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da038_s8,上月是否其他活动,0=否；8=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da038_s9,上月是否以上都没有,0=否；9=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da039_1_,活动[1]频率（对应与朋友交往）,1=几乎每天；2=几乎每周；3=不规律,—,单独使用；仅选了对应 da038 项时有值,Health_Status_and_Functioning.dta
da039_2_,活动[2]频率（对应麻将棋牌等）,1=几乎每天；2=几乎每周；3=不规律,—,单独使用,Health_Status_and_Functioning.dta
da039_3_,活动[3]频率（对应帮助他人）,1=几乎每天；2=几乎每周；3=不规律,—,单独使用,Health_Status_and_Functioning.dta
da039_4_,活动[4]频率（对应俱乐部）,1=几乎每天；2=几乎每周；3=不规律,—,单独使用,Health_Status_and_Functioning.dta
da039_5_,活动[5]频率（对应社区组织）,1=几乎每天；2=几乎每周；3=不规律,—,单独使用,Health_Status_and_Functioning.dta
da039_6_,活动[6]频率（对应志愿/照顾他人）,1=几乎每天；2=几乎每周；3=不规律,—,单独使用,Health_Status_and_Functioning.dta
da039_7_,活动[7]频率（对应教育培训）,1=几乎每天；2=几乎每周；3=不规律,—,单独使用,Health_Status_and_Functioning.dta
da039_8_,活动[8]频率（对应其他活动）,1=几乎每天；2=几乎每周；3=不规律,—,单独使用,Health_Status_and_Functioning.dta
da040,是否使用互联网,1=是；2=否,—,单独使用,Health_Status_and_Functioning.dta
da041_s1,上网设备：台式电脑,0=否；1=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da041_s2,上网设备：笔记本,0=否；2=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da041_s3,上网设备：平板,0=否；3=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da041_s4,上网设备：手机,0=否；4=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da041_s5,上网设备：其他,0=否；5=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da042_s1,上网用途：聊天,0=否；1=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da042_s2,上网用途：看新闻,0=否；2=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da042_s3,上网用途：看视频,0=否；3=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da042_s4,上网用途：玩游戏,0=否；4=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da042_s5,上网用途：理财,0=否；5=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da042_s6,上网用途：其他,0=否；6=是,—,单独使用；多选,Health_Status_and_Functioning.dta
da043,是否用手机支付,1=是；2=否,—,单独使用,Health_Status_and_Functioning.dta
da044,是否使用微信,1=是；2=否,—,单独使用,Health_Status_and_Functioning.dta
da045,是否使用微信朋友圈,1=是；2=否,—,单独使用,Health_Status_and_Functioning.dta
db043,是否因健康/残疾不能工作,1=完全不能工作；2=不能长时间工作；3=没问题,—,单独使用,Health_Status_and_Functioning.dta
db044,是否因健康/残疾不能做家事,1=完全不能；2=不能长时间做；3=没问题,—,单独使用,Health_Status_and_Functioning.dta
db045,多久接受他人帮助,1=从不；2=偶尔；3=大多时候；4=本节由代答完成,—,单独使用；4 与 proxy_5 信息重叠,Health_Status_and_Functioning.dta
xchildnum,子女总数,数值 0–10,xchildalivenum,经 householdID 合并；画像默认最多描述 2 个子女（老大/老二）,Family_Information.dta
xchildalivenum,访视时健在子女数,数值 0–10,xchildnum,经 householdID 合并；xchildnum≥i 时 ca005_i_–ca010_i_ 才有意义,Family_Information.dta
ca005_1_,第1子女出生年,年份（数值）,xchildnum,仅 xchildnum≥1 时用；第1子女=老大,Family_Information.dta
ca005_2_,第2子女出生年,年份（数值）,xchildnum,仅 xchildnum≥2 时用；第2子女=老二,Family_Information.dta
ca006_1_,第1子女性别,1=男；2=女,xchildnum,仅 xchildnum≥1 时用,Family_Information.dta
ca006_2_,第2子女性别,1=男；2=女,xchildnum,仅 xchildnum≥2 时用,Family_Information.dta
ca007_1_,第1子女最高学历,1=未受教育；2=未读完小学；3=私塾；4=小学；5=初中；6=高中；7=职高；8=大专；9=本科；10=硕士；11=博士；997=不知道；999=拒答,xchildnum,仅 xchildnum≥1 时用；编码档同 ba010,Family_Information.dta
ca007_2_,第2子女最高学历,同上 1–11；997；999,xchildnum,仅 xchildnum≥2 时用,Family_Information.dta
ca008_1_,第1子女是否工作/上学,1=工作；2=上学；3=边工边读；4=都不；997=不知道；999=拒答,xchildnum,仅 xchildnum≥1 时用,Family_Information.dta
ca008_2_,第2子女是否工作/上学,同上 1–4；997；999,xchildnum,仅 xchildnum≥2 时用,Family_Information.dta
ca010_1_,第1子女婚姻状况,1=已婚且配偶同住；2=已婚暂分居；3=分居；4=离婚；5=丧偶；6=未婚；997=不知道；999=拒答,xchildnum,仅 xchildnum≥1 时用,Family_Information.dta
ca010_2_,第2子女婚姻状况,同上 1–6；997；999,xchildnum,仅 xchildnum≥2 时用,Family_Information.dta
