模型名称,评分端,指标,均值,标准差,置信区间下限,置信区间上限,有效样本数,有效用户ID数
glm-4-plus,用户端,主观平均分,1.226891,0.375341,1.161154,1.29661,119,118
glm-4-plus,评估端,识别层评分,1.134454,0.852955,0.974995,1.279661,119,118
glm-4-plus,评估端,理解层评分,0.94958,0.622308,0.838983,1.066667,119,118
glm-4-plus,评估端,行动层评分,1.403361,0.716859,1.275,1.529412,119,118
glm-4-plus,评估端,评估端平均分,1.162465,0.572215,1.059322,1.262712,119,118
glm-5-2-260617,用户端,被理解感,1.842105,0.647597,1.752546,1.931579,190,188
glm-5-2-260617,用户端,情绪缓解感,1.726316,0.552859,1.648936,1.805263,190,188
glm-5-2-260617,用户端,个性化贴合度,1.936842,0.655631,1.845745,2.026455,190,188
glm-5-2-260617,用户端,交流舒适度,1.994737,0.612889,1.909574,2.078544,190,188
glm-5-2-260617,用户端,主观平均分,1.875,0.548416,1.796296,1.952387,190,188
glm-5-2-260617,评估端,识别层评分,0.945946,0.930928,0.814208,1.076554,185,183
glm-5-2-260617,评估端,理解层评分,1.248649,0.80272,1.130435,1.36413,185,183
glm-5-2-260617,评估端,行动层评分,1.508108,0.781017,1.395722,1.617486,185,183
glm-5-2-260617,评估端,评估端平均分,1.234234,0.737475,1.127928,1.338739,185,183
moonshot-v1-8k,用户端,被理解感,1.067568,0.25157,1.036199,1.103139,222,220
moonshot-v1-8k,用户端,情绪缓解感,1.148649,0.356546,1.104072,1.195455,222,220
moonshot-v1-8k,用户端,个性化贴合度,1.040541,0.197669,1.017937,1.067568,222,220
moonshot-v1-8k,用户端,交流舒适度,1.112613,0.330807,1.071429,1.157658,222,220
moonshot-v1-8k,用户端,主观平均分,1.092342,0.229173,1.063348,1.123874,222,220
moonshot-v1-8k,评估端,识别层评分,1.117647,0.860605,1.004505,1.232884,221,219
moonshot-v1-8k,评估端,理解层评分,0.782805,0.537565,0.713636,0.850679,221,219
moonshot-v1-8k,评估端,行动层评分,0.904977,0.614242,0.823529,0.986301,221,219
moonshot-v1-8k,评估端,评估端平均分,0.935143,0.524469,0.865754,1.003003,221,219
