模型名称,ID,标准化ID,sample_pick_order,主观平均分,评估端平均分,被理解感,情绪缓解感,个性化贴合度,交流舒适度,识别层评分,理解层评分,行动层评分
deepseek_v4_flash,122490104002,122490104002,69,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0
deepseek_v4_flash,30476203001,30476203001,70,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
deepseek_v4_flash,280154302001,280154302001,71,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,2.0
deepseek_v4_flash,108206101002,108206101002,72,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,56346322001,56346322001,73,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
deepseek_v4_flash,135559225002,135559225002,74,2.5,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,138202125002,138202125002,75,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_flash,60440205001,60440205001,76,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
deepseek_v4_flash,141154325001,141154325001,77,2.5,1.6666666666666667,3.0,3.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,74631307001,74631307001,78,1.5,1.6666666666666667,2.0,1.0,2.0,1.0,2.0,2.0,1.0
deepseek_v4_flash,280154331001,280154331001,79,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,2.0,1.0
deepseek_v4_flash,321116113001,321116113001,80,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,116006312001,116006312001,81,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,184037219001,184037219001,82,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,2.0,0.0,2.0
deepseek_v4_flash,64033334001,64033334001,83,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,150478210001,150478210001,84,2.0,0.6666666666666666,2.0,2.0,2.0,2.0,0.0,1.0,1.0
deepseek_v4_flash,151156311001,151156311001,85,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,2.0,1.0
deepseek_v4_flash,271806118001,271806118001,86,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
deepseek_v4_flash,60481225002,60481225002,87,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,2.0
deepseek_v4_flash,141154206002,141154206002,88,1.75,1.6666666666666667,2.0,2.0,2.0,1.0,2.0,1.0,2.0
deepseek_v4_flash,94004111001,94004111001,89,2.25,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,326359105002,326359105002,90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
deepseek_v4_flash,202454134001,202454134001,91,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,124099315002,124099315002,92,1.5,1.3333333333333333,2.0,1.0,2.0,1.0,1.0,2.0,1.0
deepseek_v4_flash,134004112002,134004112002,93,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,2.0
deepseek_v4_flash,275559307001,275559307001,94,1.75,1.6666666666666667,2.0,1.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,271806130001,271806130001,95,2.75,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
deepseek_v4_flash,64028102001,64028102001,96,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,0.0,2.0,2.0
deepseek_v4_flash,281116308001,281116308001,97,2.25,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
deepseek_v4_flash,275559318001,275559318001,98,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,65546119001,65546119001,99,1.75,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
deepseek_v4_flash,205304101002,205304101002,100,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,241116332002,241116332002,101,2.5,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,64033129001,64033129001,102,1.5,0.6666666666666666,2.0,2.0,1.0,1.0,0.0,1.0,1.0
deepseek_v4_flash,110131213002,110131213002,103,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
deepseek_v4_flash,262728314002,262728314002,104,1.5,1.6666666666666667,2.0,2.0,1.0,1.0,2.0,1.0,2.0
deepseek_v4_flash,241116221001,241116221001,105,2.5,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,275559328001,275559328001,106,1.75,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,54054108002,54054108002,107,3.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
deepseek_v4_flash,154044310001,154044310001,108,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,270402209001,270402209001,109,2.5,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,58202220001,58202220001,110,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,2.0
deepseek_v4_flash,65546218001,65546218001,111,2.25,1.6666666666666667,3.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,138202135001,138202135001,112,2.75,0.6666666666666666,3.0,2.0,3.0,3.0,0.0,0.0,2.0
deepseek_v4_flash,112744316002,112744316002,113,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,74057123001,74057123001,114,1.5,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0
deepseek_v4_flash,10206323002,10206323002,115,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,74002116002,74002116002,116,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_flash,241116304002,241116304002,117,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0
deepseek_v4_flash,142403341002,142403341002,118,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,2.0,0.0,2.0
deepseek_v4_flash,56604129001,56604129001,119,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,72428222002,72428222002,120,2.25,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
deepseek_v4_flash,141154304002,141154304002,121,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,294099231003,294099231003,122,2.0,0.6666666666666666,2.0,2.0,2.0,2.0,0.0,1.0,1.0
deepseek_v4_flash,34043123001,34043123001,123,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,2.0,0.0,2.0
deepseek_v4_flash,274951110001,274951110001,124,1.5,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0
deepseek_v4_flash,34676116002,34676116002,125,1.75,1.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0
deepseek_v4_flash,175531321001,175531321001,126,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,321131210001,321131210001,127,1.75,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0
deepseek_v4_flash,241116320001,241116320001,128,2.25,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,244056227001,244056227001,129,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
deepseek_v4_flash,74002112001,74002112001,130,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,0.0,2.0,2.0
deepseek_v4_flash,154058310002,154058310002,131,1.25,1.3333333333333333,1.0,1.0,1.0,2.0,2.0,0.0,2.0
deepseek_v4_flash,266059202002,266059202002,132,2.0,0.3333333333333333,2.0,2.0,2.0,2.0,0.0,0.0,1.0
deepseek_v4_flash,184037201002,184037201002,133,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,211154232001,211154232001,134,2.5,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,345233228002,345233228002,135,2.25,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
deepseek_v4_flash,116006116001,116006116001,136,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
deepseek_v4_flash,266059204001,266059204001,137,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,10233105002,10233105002,138,1.5,1.6666666666666667,2.0,2.0,1.0,1.0,1.0,2.0,2.0
deepseek_v4_flash,298245316002,298245316002,139,1.5,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
deepseek_v4_flash,296081233002,296081233002,140,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,296081115001,296081115001,141,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,2.0,0.0,2.0
deepseek_v4_flash,60440124001,60440124001,142,3.0,1.6666666666666667,3.0,3.0,3.0,3.0,1.0,2.0,2.0
deepseek_v4_flash,194037336001,194037336001,143,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,202454220001,202454220001,144,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,153859111002,153859111002,145,1.75,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0
deepseek_v4_flash,14031322002,14031322002,146,1.5,1.6666666666666667,2.0,1.0,2.0,1.0,2.0,2.0,1.0
deepseek_v4_flash,347763115002,347763115002,147,2.0,0.6666666666666666,2.0,2.0,2.0,2.0,0.0,1.0,1.0
deepseek_v4_flash,347763302001,347763302001,148,1.75,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,261676110002,261676110002,149,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,295331315002,295331315002,150,2.25,1.3333333333333333,2.0,3.0,2.0,2.0,2.0,0.0,2.0
deepseek_v4_flash,175531322002,175531322002,151,2.75,0.6666666666666666,3.0,2.0,3.0,3.0,0.0,0.0,2.0
deepseek_v4_flash,294028325002,294028325002,152,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,244056210002,244056210002,153,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0
deepseek_v4_flash,244056306002,244056306002,154,1.25,1.6666666666666667,1.0,1.0,2.0,1.0,2.0,2.0,1.0
deepseek_v4_flash,184037216001,184037216001,155,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,2.0
deepseek_v4_flash,211176120002,211176120002,156,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,154058209001,154058209001,157,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,0.0,2.0,2.0
deepseek_v4_flash,151156109002,151156109002,158,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_flash,288251231001,288251231001,159,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,150478113001,150478113001,160,1.75,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
deepseek_v4_flash,111154107001,111154107001,161,2.0,0.3333333333333333,2.0,2.0,2.0,2.0,0.0,0.0,1.0
deepseek_v4_flash,14643316002,14643316002,162,1.75,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
deepseek_v4_flash,296331123002,296331123002,163,2.5,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
deepseek_v4_flash,134902222002,134902222002,164,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,134902306001,134902306001,165,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,2.0,0.0,2.0
deepseek_v4_flash,321116307002,321116307002,166,2.25,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,265359333002,265359333002,167,2.75,1.0,3.0,3.0,2.0,3.0,0.0,1.0,2.0
deepseek_v4_flash,275559214002,275559214002,168,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,104004216002,104004216002,169,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
deepseek_v4_flash,58659336002,58659336002,170,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0
deepseek_v4_flash,174643308001,174643308001,171,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,2.0,1.0,1.0
deepseek_v4_flash,30476203002,30476203002,172,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,2.0,0.0,2.0
deepseek_v4_flash,161159216001,161159216001,173,2.25,1.6666666666666667,2.0,2.0,2.0,3.0,2.0,1.0,2.0
deepseek_v4_flash,296081128002,296081128002,174,2.5,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,56043123001,56043123001,175,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,2.0,0.0,2.0
deepseek_v4_flash,334631128001,334631128001,176,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,1.0,1.0,2.0
deepseek_v4_flash,175531212002,175531212002,177,2.75,1.0,3.0,3.0,3.0,2.0,0.0,1.0,2.0
deepseek_v4_flash,56302136001,56302136001,178,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,134902327001,134902327001,179,2.5,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,74981218001,74981218001,180,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,2.0
deepseek_v4_flash,177402120001,177402120001,181,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0
deepseek_v4_flash,154058322001,154058322001,182,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,177402135002,177402135002,183,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
deepseek_v4_flash,151156318001,151156318001,184,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,347763304002,347763304002,185,2.25,1.3333333333333333,2.0,2.0,2.0,3.0,1.0,1.0,2.0
deepseek_v4_flash,65546132001,65546132001,186,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,2.0,0.0,2.0
deepseek_v4_flash,296081138001,296081138001,187,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,57633117002,57633117002,188,1.75,1.3333333333333333,2.0,2.0,2.0,1.0,2.0,0.0,2.0
deepseek_v4_flash,296006201002,296006201002,189,2.25,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0
deepseek_v4_flash,112744211002,112744211002,190,2.75,1.0,3.0,2.0,3.0,3.0,0.0,1.0,2.0
deepseek_v4_flash,162431228001,162431228001,191,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,241116116001,241116116001,192,2.0,0.6666666666666666,2.0,2.0,2.0,2.0,0.0,0.0,2.0
deepseek_v4_flash,168231321002,168231321002,193,1.75,1.3333333333333333,1.0,2.0,2.0,2.0,2.0,0.0,2.0
deepseek_v4_flash,330131314001,330131314001,194,1.75,1.3333333333333333,2.0,1.0,2.0,2.0,2.0,0.0,2.0
deepseek_v4_flash,64604310002,64604310002,195,2.0,1.3333333333333333,2.0,2.0,2.0,2.0,0.0,2.0,2.0
deepseek_v4_flash,324078327001,324078327001,196,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,241116129001,241116129001,197,2.0,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_flash,324045138002,324045138002,198,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0
deepseek_v4_flash,175531317002,175531317002,199,2.0,0.6666666666666666,2.0,2.0,2.0,2.0,0.0,1.0,1.0
deepseek_v4_flash,297439202001,297439202001,200,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,330102318002,330102318002,201,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,296081128001,296081128001,202,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,321116208002,321116208002,203,3.0,0.6666666666666666,3.0,3.0,3.0,3.0,0.0,0.0,2.0
deepseek_v4_flash,321659309002,321659309002,204,1.25,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,261676239001,261676239001,205,2.0,0.6666666666666666,2.0,2.0,2.0,2.0,0.0,0.0,2.0
deepseek_v4_flash,78233308001,78233308001,206,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0
deepseek_v4_flash,117489210001,117489210001,207,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
deepseek_v4_flash,116006208001,116006208001,208,1.0,1.6666666666666667,1.0,1.0,1.0,1.0,1.0,2.0,2.0
deepseek_v4_flash,110131308002,110131308002,209,2.0,1.3333333333333333,1.0,2.0,2.0,3.0,2.0,0.0,2.0
deepseek_v4_flash,204906235001,204906235001,210,1.25,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0
deepseek_v4_flash,122490107002,122490107002,211,2.25,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
deepseek_v4_flash,202454119001,202454119001,212,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,1.0,1.0
deepseek_v4_flash,281104122001,281104122001,213,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
deepseek_v4_flash,60481225001,60481225001,214,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
deepseek_v4_flash,184037316002,184037316002,215,1.5,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,134004327001,134004327001,216,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,326346326002,326346326002,217,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_flash,56059316001,56059316001,218,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,0.0,2.0,2.0
deepseek_v4_flash,158278316001,158278316001,219,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
deepseek_v4_flash,324681112001,324681112001,220,,2.0,,,,,2.0,2.0,2.0
deepseek_v4_flash,10451307002,10451307002,221,,1.3333333333333333,,,,,2.0,0.0,2.0
deepseek_v4_flash,111154234001,111154234001,222,,1.0,,,,,0.0,1.0,2.0
deepseek_v4_flash,122490332001,122490332001,223,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
deepseek_v4_flash,262728314002,262728314002,224,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0
deepseek_v4_flash,57457105001,57457105001,225,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,1.0
deepseek_v4_flash,184037118001,184037118001,226,,0.3333333333333333,,,,,0.0,0.0,1.0
