模型名称,ID,聚类ID,sample_pick_order,被理解感,情绪缓解感,个性化贴合度,交流舒适度,识别层评分,理解层评分,行动层评分,主观评分均值
deepseek_v4_pro,324078110002,324078110002,3,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
deepseek_v4_pro,175531118001,175531118001,4,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0
deepseek_v4_pro,14643113001,14643113001,5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,111154127001,111154127001,6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,338231328001,338231328001,7,2.0,3.0,2.0,3.0,0.0,0.0,2.0,2.5
deepseek_v4_pro,51606117001,51606117001,8,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0
deepseek_v4_pro,324045114001,324045114001,9,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.25
deepseek_v4_pro,18206219002,18206219002,10,3.0,3.0,3.0,3.0,0.0,2.0,2.0,3.0
deepseek_v4_pro,64604125002,64604125002,11,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.25
deepseek_v4_pro,161159310001,161159310001,12,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0
deepseek_v4_pro,281104130001,281104130001,13,2.0,3.0,2.0,3.0,0.0,0.0,0.0,2.5
deepseek_v4_pro,134902123001,134902123001,14,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
deepseek_v4_pro,122490220001,122490220001,15,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
deepseek_v4_pro,56302330002,56302330002,16,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
deepseek_v4_pro,291676308001,291676308001,17,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,75504213002,75504213002,18,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
deepseek_v4_pro,184037213001,184037213001,19,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,154058307002,154058307002,20,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.5
deepseek_v4_pro,207406312001,207406312001,21,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.5
deepseek_v4_pro,154044202001,154044202001,22,1.0,2.0,1.0,2.0,0.0,1.0,2.0,1.5
deepseek_v4_pro,266059222001,266059222001,23,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
deepseek_v4_pro,30476124001,30476124001,24,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,135559225002,135559225002,25,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.25
deepseek_v4_pro,211176334001,211176334001,26,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
deepseek_v4_pro,14031307002,14031307002,27,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,280154309002,280154309002,28,3.0,3.0,3.0,3.0,0.0,2.0,2.0,3.0
deepseek_v4_pro,200104317001,200104317001,29,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.75
deepseek_v4_pro,34043224002,34043224002,30,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.5
deepseek_v4_pro,105102322002,105102322002,31,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.25
deepseek_v4_pro,105102306002,105102306002,32,2.0,2.0,2.0,3.0,0.0,0.0,2.0,2.25
deepseek_v4_pro,134902216001,134902216001,33,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.75
deepseek_v4_pro,211176105002,211176105002,34,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.25
deepseek_v4_pro,241116202002,241116202002,35,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
deepseek_v4_pro,64028317002,64028317002,36,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,64028314002,64028314002,37,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.25
deepseek_v4_pro,266306205002,266306205002,38,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0
deepseek_v4_pro,57633243002,57633243002,39,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
deepseek_v4_pro,202454131002,202454131002,40,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_pro,153859115002,153859115002,41,1.0,1.0,1.0,1.0,,,,1.0
deepseek_v4_pro,64028310001,64028310001,42,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
deepseek_v4_pro,158278201002,158278201002,43,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.75
deepseek_v4_pro,150478205001,150478205001,44,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_pro,281104122003,281104122003,45,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.75
deepseek_v4_pro,110131321002,110131321002,46,2.0,2.0,3.0,3.0,0.0,1.0,2.0,2.5
deepseek_v4_pro,298245106002,298245106002,47,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.25
deepseek_v4_pro,266059305001,266059305001,48,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0
deepseek_v4_pro,54054110001,54054110001,49,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.25
deepseek_v4_pro,338231202001,338231202001,50,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.75
deepseek_v4_pro,10206118001,10206118001,51,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.25
deepseek_v4_pro,244676309001,244676309001,52,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,10233105002,10233105002,53,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,320146222002,320146222002,54,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,280154108002,280154108002,55,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.25
deepseek_v4_pro,294099132002,294099132002,56,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0
deepseek_v4_pro,151156320002,151156320002,57,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
deepseek_v4_pro,296081302001,296081302001,58,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.75
deepseek_v4_pro,104004221001,104004221001,66,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,205304214001,205304214001,67,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.25
deepseek_v4_pro,204028208001,204028208001,68,2.0,2.0,2.0,3.0,0.0,1.0,2.0,2.25
deepseek_v4_pro,122490104002,122490104002,69,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0
deepseek_v4_pro,30476203001,30476203001,70,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0
deepseek_v4_pro,280154302001,280154302001,71,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.25
deepseek_v4_pro,108206101002,108206101002,72,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
deepseek_v4_pro,56346322001,56346322001,73,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,135559225002,135559225002,74,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
deepseek_v4_pro,138202125002,138202125002,75,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0
deepseek_v4_pro,60440205001,60440205001,76,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,141154325001,141154325001,77,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.75
deepseek_v4_pro,74631307001,74631307001,78,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0
deepseek_v4_pro,280154331001,280154331001,79,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,321116113001,321116113001,80,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
deepseek_v4_pro,116006312001,116006312001,81,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_pro,184037219001,184037219001,82,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.5
deepseek_v4_pro,64033334001,64033334001,83,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.75
deepseek_v4_pro,65546103002,65546103002,59,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
deepseek_v4_pro,154058321002,154058321002,60,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.25
deepseek_v4_pro,14051113002,14051113002,61,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.75
deepseek_v4_pro,75504205002,75504205002,62,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
deepseek_v4_pro,154628117001,154628117001,63,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
deepseek_v4_pro,162431111003,162431111003,64,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
deepseek_v4_pro,320146132002,320146132002,65,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
deepseek_v4_pro,150478210001,150478210001,84,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.75
deepseek_v4_pro,151156311001,151156311001,85,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,271806118001,271806118001,86,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_pro,60481225002,60481225002,87,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.25
deepseek_v4_pro,141154206002,141154206002,88,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.75
deepseek_v4_pro,94004111001,94004111001,89,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,326359105002,326359105002,90,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
deepseek_v4_pro,202454134001,202454134001,91,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.5
deepseek_v4_pro,124099315002,124099315002,92,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.25
deepseek_v4_pro,134004112002,134004112002,93,2.0,2.0,2.0,3.0,0.0,2.0,2.0,2.25
deepseek_v4_pro,275559307001,275559307001,94,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.5
deepseek_v4_pro,271806130001,271806130001,95,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
deepseek_v4_pro,64028102001,64028102001,96,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0
deepseek_v4_pro,281116308001,281116308001,97,2.0,2.0,2.0,3.0,0.0,2.0,2.0,2.25
deepseek_v4_pro,275559318001,275559318001,98,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
deepseek_v4_pro,65546119001,65546119001,99,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
deepseek_v4_pro,205304101002,205304101002,100,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.75
deepseek_v4_pro,241116332002,241116332002,101,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.5
deepseek_v4_pro,64033129001,64033129001,102,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.25
deepseek_v4_pro,110131213002,110131213002,103,2.0,2.0,2.0,3.0,0.0,1.0,2.0,2.25
deepseek_v4_pro,262728314002,262728314002,104,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.25
deepseek_v4_pro,241116221001,241116221001,105,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0
deepseek_v4_pro,275559328001,275559328001,106,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
deepseek_v4_pro,54054108002,54054108002,107,2.0,2.0,2.0,3.0,0.0,0.0,0.0,2.25
deepseek_v4_pro,154044310001,154044310001,108,2.0,2.0,3.0,3.0,0.0,1.0,2.0,2.5
deepseek_v4_pro,270402209001,270402209001,109,2.0,2.0,2.0,3.0,0.0,0.0,2.0,2.25
deepseek_v4_pro,58202220001,58202220001,110,2.0,3.0,2.0,3.0,0.0,1.0,2.0,2.5
deepseek_v4_pro,65546218001,65546218001,111,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.25
deepseek_v4_pro,138202135001,138202135001,112,2.0,2.0,3.0,3.0,0.0,1.0,2.0,2.5
deepseek_v4_pro,112744316002,112744316002,113,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.25
deepseek_v4_pro,74057123001,74057123001,114,3.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0
deepseek_v4_pro,10206323002,10206323002,115,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
deepseek_v4_pro,241116304002,241116304002,117,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
deepseek_v4_pro,142403341002,142403341002,118,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
deepseek_v4_pro,56604129001,56604129001,119,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0
deepseek_v4_pro,72428222002,72428222002,120,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,141154304002,141154304002,121,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.75
deepseek_v4_pro,294099231003,294099231003,122,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
deepseek_v4_pro,34043123001,34043123001,123,1.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0
deepseek_v4_pro,274951110001,274951110001,124,3.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0
deepseek_v4_pro,34676116002,34676116002,125,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
deepseek_v4_pro,175531321001,175531321001,126,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0
deepseek_v4_pro,321131210001,321131210001,127,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0
deepseek_v4_pro,241116320001,241116320001,128,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.75
deepseek_v4_pro,244056227001,244056227001,129,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
deepseek_v4_pro,74002112001,74002112001,130,2.0,2.0,2.0,3.0,2.0,0.0,2.0,2.25
deepseek_v4_pro,154058310002,154058310002,131,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.75
deepseek_v4_pro,266059202002,266059202002,132,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.25
deepseek_v4_pro,184037201002,184037201002,133,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.25
deepseek_v4_pro,211154232001,211154232001,134,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,345233228002,345233228002,135,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.5
deepseek_v4_pro,116006116001,116006116001,136,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,266059204001,266059204001,137,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.25
deepseek_v4_pro,10233105002,10233105002,138,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
deepseek_v4_pro,298245316002,298245316002,139,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
deepseek_v4_pro,296081233002,296081233002,140,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0
deepseek_v4_pro,296081115001,296081115001,141,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
deepseek_v4_pro,60440124001,60440124001,142,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
deepseek_v4_pro,194037336001,194037336001,143,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0
deepseek_v4_pro,202454220001,202454220001,144,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.75
deepseek_v4_pro,153859111002,153859111002,145,2.0,2.0,2.0,1.0,0.0,0.0,2.0,1.75
deepseek_v4_pro,14031322002,14031322002,146,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.25
deepseek_v4_pro,347763115002,347763115002,147,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0
deepseek_v4_pro,347763302001,347763302001,148,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.5
deepseek_v4_pro,261676110002,261676110002,149,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.5
deepseek_v4_pro,295331315002,295331315002,150,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.5
deepseek_v4_pro,175531322002,175531322002,151,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0
deepseek_v4_pro,74002116002,74002116002,116,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
deepseek_v4_pro,294028325002,294028325002,152,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0
deepseek_v4_pro,244056210002,244056210002,153,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
deepseek_v4_pro,244056306002,244056306002,154,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
deepseek_v4_pro,184037216001,184037216001,155,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
deepseek_v4_pro,211176120002,211176120002,156,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.25
deepseek_v4_pro,154058209001,154058209001,157,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0
deepseek_v4_pro,151156109002,151156109002,158,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
deepseek_v4_pro,288251231001,288251231001,159,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.25
deepseek_v4_pro,150478113001,150478113001,160,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.75
deepseek_v4_pro,111154107001,111154107001,161,2.0,2.0,2.0,3.0,0.0,1.0,2.0,2.25
deepseek_v4_pro,14643316002,14643316002,162,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.25
deepseek_v4_pro,296331123002,296331123002,163,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,134902222002,134902222002,164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
deepseek_v4_pro,134902306001,134902306001,165,1.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0
deepseek_v4_pro,321116307002,321116307002,166,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.75
deepseek_v4_pro,265359333002,265359333002,167,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
deepseek_v4_pro,275559214002,275559214002,168,1.0,1.0,2.0,1.0,0.0,1.0,2.0,1.25
deepseek_v4_pro,104004216002,104004216002,169,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.75
deepseek_v4_pro,58659336002,58659336002,170,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0
deepseek_v4_pro,174643308001,174643308001,171,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
deepseek_v4_pro,294099321001,294099321001,227,3.0,3.0,3.0,3.0,2.0,0.0,2.0,3.0
deepseek_v4_pro,265359305001,265359305001,228,1.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0
doubao-seed-2-0-lite-260428,57457126001,57457126001,1,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.25
doubao-seed-2-0-lite-260428,75376243001,75376243001,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
doubao-seed-2-0-lite-260428,324078110002,324078110002,3,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
doubao-seed-2-0-lite-260428,175531118001,175531118001,4,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0
doubao-seed-2-0-lite-260428,14643113001,14643113001,5,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.75
doubao-seed-2-0-lite-260428,111154127001,111154127001,6,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.5
doubao-seed-2-0-lite-260428,338231328001,338231328001,7,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0
doubao-seed-2-0-lite-260428,51606117001,51606117001,8,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
doubao-seed-2-0-lite-260428,324045114001,324045114001,9,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.75
doubao-seed-2-0-lite-260428,18206219002,18206219002,10,2.0,3.0,2.0,2.0,0.0,1.0,2.0,2.25
doubao-seed-2-0-lite-260428,64604125002,64604125002,11,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
doubao-seed-2-0-lite-260428,161159310001,161159310001,12,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
doubao-seed-2-0-lite-260428,281104130001,281104130001,13,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.25
doubao-seed-2-0-lite-260428,134902123001,134902123001,14,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
doubao-seed-2-0-lite-260428,122490220001,122490220001,15,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.5
doubao-seed-2-0-lite-260428,56302330002,56302330002,16,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.75
doubao-seed-2-0-lite-260428,291676308001,291676308001,17,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
doubao-seed-2-0-lite-260428,266059222001,266059222001,23,1.0,2.0,2.0,2.0,0.0,1.0,2.0,1.75
doubao-seed-2-0-lite-260428,30476124001,30476124001,24,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
doubao-seed-2-0-lite-260428,135559225002,135559225002,25,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
doubao-seed-2-0-lite-260428,211176334001,211176334001,26,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.75
doubao-seed-2-0-lite-260428,14031307002,14031307002,27,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.25
doubao-seed-2-0-lite-260428,280154309002,280154309002,28,2.0,3.0,3.0,3.0,0.0,2.0,2.0,2.75
doubao-seed-2-0-lite-260428,200104317001,200104317001,29,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
doubao-seed-2-0-lite-260428,34043224002,34043224002,30,2.0,3.0,3.0,3.0,1.0,1.0,2.0,2.75
doubao-seed-2-0-lite-260428,105102322002,105102322002,31,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.5
doubao-seed-2-0-lite-260428,105102306002,105102306002,32,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.5
doubao-seed-2-0-lite-260428,134902216001,134902216001,33,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.5
doubao-seed-2-0-lite-260428,211176105002,211176105002,34,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
doubao-seed-2-0-lite-260428,241116202002,241116202002,35,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.75
doubao-seed-2-0-lite-260428,64028317002,64028317002,36,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.5
doubao-seed-2-0-lite-260428,64028314002,64028314002,37,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
doubao-seed-2-0-lite-260428,75504213002,75504213002,18,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
doubao-seed-2-0-lite-260428,184037213001,184037213001,19,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.5
doubao-seed-2-0-lite-260428,154058307002,154058307002,20,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
doubao-seed-2-0-lite-260428,207406312001,207406312001,21,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
doubao-seed-2-0-lite-260428,154044202001,154044202001,22,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0
doubao-seed-2-0-lite-260428,266306205002,266306205002,38,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
doubao-seed-2-0-lite-260428,57633243002,57633243002,39,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.25
doubao-seed-2-0-lite-260428,202454131002,202454131002,40,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0
doubao-seed-2-0-lite-260428,153859115002,153859115002,41,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0
doubao-seed-2-0-lite-260428,64028310001,64028310001,42,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.75
doubao-seed-2-0-lite-260428,158278201002,158278201002,43,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
doubao-seed-2-0-lite-260428,150478205001,150478205001,44,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
doubao-seed-2-0-lite-260428,281104122003,281104122003,45,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
doubao-seed-2-0-lite-260428,110131321002,110131321002,46,2.0,3.0,3.0,3.0,0.0,0.0,2.0,2.75
doubao-seed-2-0-lite-260428,298245106002,298245106002,47,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
doubao-seed-2-0-lite-260428,266059305001,266059305001,48,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.75
doubao-seed-2-0-lite-260428,54054110001,54054110001,49,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0
doubao-seed-2-0-lite-260428,338231202001,338231202001,50,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
doubao-seed-2-0-lite-260428,10206118001,10206118001,51,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.5
doubao-seed-2-0-lite-260428,244676309001,244676309001,52,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.75
doubao-seed-2-0-lite-260428,10233105002,10233105002,53,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
doubao-seed-2-0-lite-260428,320146222002,320146222002,54,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
doubao-seed-2-0-lite-260428,280154108002,280154108002,55,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.25
doubao-seed-2-0-lite-260428,294099132002,294099132002,56,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
